43.133190000,131.899880000,
43.133190000,131.899880000,
43.133130000,131.899700000,
43.133000000,131.899630000,
43.132860000,131.899710000,
43.132800000,131.899890000,
43.132880000,131.900100000,
43.133030000,131.900150000,
43.133100000,131.900510000,
43.133360000,131.908820000,
43.133360000,131.909840000,
43.133110000,131.911060000,
43.133110000,131.911060000,
43.132740000,131.912690000,
43.132740000,131.912690000,
43.131860000,131.912150000,
43.131730000,131.911840000,
43.131870000,131.911610000,
43.131870000,131.911610000,
43.132560000,131.911590000,
43.134520000,131.911270000,
43.138160000,131.910770000,
43.139760000,131.910530000,
43.140340000,131.910370000,
43.140850000,131.910060000,
43.142020000,131.909070000,
43.143460000,131.907600000,
43.144550000,131.906310000,
43.145010000,131.905970000,
43.145370000,131.905870000,
43.145660000,131.905860000,
43.148080000,131.906120000,
43.148940000,131.906370000,
43.149840000,131.906790000,
43.154510000,131.910380000,
43.155390000,131.910990000,
43.156150000,131.911230000,
43.158560000,131.911710000,
43.160750000,131.912380000,
43.162170000,131.912950000,
43.166450000,131.914460000,
43.167540000,131.914890000,
43.168370000,131.915220000,
43.171000000,131.916470000,
43.172410000,131.917010000,
43.175950000,131.918270000,
43.180950000,131.919890000,
43.183180000,131.920720000,
43.184210000,131.921010000,
43.186280000,131.921000000,
43.186780000,131.921150000,
43.187100000,131.921310000,
43.187370000,131.921490000,
43.187610000,131.921740000,
43.189320000,131.923710000,
43.189910000,131.924320000,
43.191430000,131.925510000,
43.191820000,131.925990000,
43.192090000,131.926490000,
43.192390000,131.927360000,
43.193080000,131.931290000,
43.193330000,131.933160000,
43.193710000,131.936890000,
43.193770000,131.937240000,
43.193920000,131.937770000,
43.194310000,131.938720000,
43.194580000,131.939270000,
43.196710000,131.942910000,
43.198380000,131.946230000,
43.199170000,131.947740000,
43.199580000,131.948390000,
43.199830000,131.948680000,
43.200420000,131.949170000,
43.201050000,131.949480000,
43.201500000,131.949630000,
43.202780000,131.949700000,
43.207790000,131.949630000,
43.208390000,131.949660000,
43.209160000,131.949800000,
43.210000000,131.950220000,
43.210760000,131.950920000,
43.211200000,131.951460000,
43.213180000,131.954230000,
43.218740000,131.961680000,
43.219600000,131.962930000,
43.220910000,131.965330000,
43.220910000,131.965330000,
43.220920000,131.965630000,
43.220850000,131.965880000,
43.220660000,131.966080000,
43.220320000,131.966210000,
43.220180000,131.966110000,
43.220000000,131.965770000,
43.219890000,131.965440000,
43.219870000,131.965200000,
43.219960000,131.964910000,
43.220180000,131.964770000,
43.222580000,131.964950000,
43.224390000,131.965020000,
43.245690000,131.964220000,
43.246760000,131.964240000,
43.248160000,131.964350000,
43.249960000,131.964650000,
43.251770000,131.965110000,
43.252520000,131.965340000,
43.254180000,131.965980000,
43.255500000,131.966600000,
43.257000000,131.967430000,
43.258380000,131.968320000,
43.259490000,131.969130000,
43.261110000,131.970490000,
43.268140000,131.976800000,
43.268900000,131.977530000,
43.269670000,131.978450000,
