45.253770000,-69.445500000,192.6,0,0.0000,0,maine - Carretera desconocida (15.034 km / 140 horas)
45.251330000,-69.444780000,182.4,168.3,0.2770,277.00,
45.247330000,-69.443490000,157.8,167.2,0.7329,455.94,
45.247330000,-69.443490000,157.8,167.2,0.7329,0.00,
45.246590000,-69.440860000,154.4,111.8,0.9552,222.25,
45.246300000,-69.439990000,154.4,115.3,1.0307,75.52,
45.243730000,-69.434670000,131.6,124.5,1.5367,505.99,
45.243090000,-69.433710000,130.1,133.4,1.6403,103.63,
45.242130000,-69.432510000,133.6,138.6,1.7827,142.34,
45.240770000,-69.431020000,133.5,142.4,1.9738,191.13,
45.240310000,-69.430390000,129.6,136.0,2.0449,71.14,
45.235760000,-69.422470000,151.1,129.2,2.8465,801.52,
45.235760000,-69.422470000,151.1,129.2,2.8465,0.00,
45.231380000,-69.421300000,163.7,169.3,3.3418,495.37,
45.230850000,-69.421000000,165.8,158.3,3.4053,63.44,
45.230400000,-69.420530000,168.1,143.7,3.4674,62.16,
45.228990000,-69.418280000,182.8,131.7,3.7036,236.17,
45.224890000,-69.411320000,174.3,129.9,4.4152,711.62,
45.222680000,-69.407620000,159.3,130.3,4.7957,380.49,
45.221960000,-69.406480000,153.1,131.9,4.9158,120.08,
45.221520000,-69.405960000,147.9,140.2,4.9795,63.71,
45.219140000,-69.403550000,161.2,144.5,5.3048,325.26,
45.217750000,-69.402080000,170.0,143.3,5.4976,192.86,
45.216630000,-69.400760000,176.3,140.3,5.6596,162.00,
45.214880000,-69.398540000,189.1,138.2,5.9208,261.22,
45.214470000,-69.397970000,192.6,135.6,5.9847,63.88,
45.214140000,-69.397280000,195.6,124.2,6.0502,65.44,
45.212870000,-69.393730000,201.0,116.9,6.3627,312.55,
45.210890000,-69.389310000,205.6,122.5,6.7738,411.07,
45.210530000,-69.388690000,203.7,129.5,6.8368,63.03,
45.210240000,-69.388330000,201.5,138.8,6.8797,42.88,
45.209890000,-69.388020000,197.5,148.0,6.9256,45.89,
45.209170000,-69.387670000,190.4,161.1,7.0102,84.61,
45.208580000,-69.387500000,185.8,168.5,7.0771,66.92,
45.207820000,-69.387370000,182.2,173.1,7.1622,85.08,
45.207100000,-69.387390000,178.4,181.1,7.2422,80.03,
45.206510000,-69.387530000,178.8,189.5,7.3087,66.49,
45.205000000,-69.388020000,185.1,192.9,7.4809,172.17,
45.203970000,-69.388420000,195.0,195.3,7.5996,118.71,
45.202490000,-69.389140000,190.0,198.9,7.7735,173.94,
45.201000000,-69.389670000,180.5,194.1,7.9443,170.75,
45.200620000,-69.389730000,179.0,186.3,7.9868,42.49,
45.199490000,-69.389670000,178.0,177.9,8.1124,125.67,
45.199120000,-69.389710000,178.0,184.4,8.1537,41.24,
45.197030000,-69.390390000,184.7,192.9,8.3920,238.34,
45.196390000,-69.390450000,192.4,183.8,8.4633,71.28,
45.196070000,-69.390360000,195.3,168.8,8.4996,36.26,
45.195600000,-69.390070000,198.5,156.5,8.5566,56.99,
45.193700000,-69.388560000,203.5,150.7,8.7988,242.21,
45.193050000,-69.388290000,203.2,163.7,8.8741,75.29,
45.191580000,-69.387920000,200.7,169.9,9.0400,165.94,
45.191210000,-69.387920000,198.4,180.0,9.0811,41.12,
45.190870000,-69.388030000,196.3,192.8,9.1199,38.76,
45.189400000,-69.388960000,188.3,204.0,9.2988,178.97,
45.189130000,-69.389030000,186.2,190.4,9.3293,30.51,
45.188780000,-69.389000000,184.0,176.5,9.3683,38.97,
45.188460000,-69.388850000,182.5,161.7,9.4058,37.47,
